,DayOfYear,DayOfMonth,DayOfWeek,Year,Month,Hour,volume,temp,rain_1h,sun_1h,snow_1h,is_holiday
DayOfYear,1.0,0.09502274492341896,-0.001644837389892436,0.08495970053352059,0.9964074573013952,-4.0408196240137845e-05,0.07588283545967231,0.20523678434607937,0.0018943985059748903,-0.015286374124023203,-0.006389892543615483,-0.006299627286731216
DayOfMonth,0.09502274492341896,1.0,0.00412783000138043,-3.4036862940258114e-05,0.010661345637435038,6.549339499641447e-05,0.03158209195889198,0.016317140670881657,0.0013347625779824173,0.00021260521111771667,-0.00612872194543415,-0.06965929321455441
DayOfWeek,-0.001644837389892436,0.00412783000138043,1.0,-0.0005599078832278778,-0.0020001577678336684,7.044461021872136e-05,0.05853239802501514,0.0021315969063490457,-0.003519641541225575,0.002561075674515653,0.006018614506669683,-0.03622336946669525
Year,0.08495970053352059,-3.4036862940258114e-05,-0.0005599078832278778,1.0,0.08518837595668544,-7.472185712220903e-05,0.035663049299707206,0.010764138575967053,0.003659252413427276,-0.029355699897268595,-0.042339967833922576,-0.0020582436218460507
Month,0.9964074573013952,0.010661345637435038,-0.0020001577678336684,0.08518837595668544,1.0,-4.584182419073394e-05,0.07411701328514489,0.20717561058929246,0.0018604145563915126,-0.014320203777007382,-0.00595066876026615,-0.00022114631843841724
Hour,-4.0408196240137845e-05,6.549339499641447e-05,7.044461021872136e-05,-7.472185712220903e-05,-4.584182419073394e-05,1.0,0.26475071308708104,0.1255394132221117,0.023798279371498577,0.022738114728020162,0.0077991827321805055,-9.412228757037465e-06
volume,0.07588283545967231,0.03158209195889198,0.05853239802501514,0.035663049299707206,0.07411701328514489,0.26475071308708104,1.0,0.33631059006663344,-0.014865130188046726,0.46724441523282584,-0.005042615645741037,-0.01389841471424344
temp,0.20523678434607937,0.016317140670881657,0.0021315969063490457,0.010764138575967053,0.20717561058929246,0.1255394132221117,0.33631059006663344,1.0,-0.0054829292918488455,0.4163832205645788,-0.005224058072525796,-0.021373964430407684
rain_1h,0.0018943985059748903,0.0013347625779824173,-0.003519641541225575,0.003659252413427276,0.0018604145563915126,0.023798279371498577,-0.014865130188046726,-0.0054829292918488455,1.0,-0.10614976687849365,0.0066681731305887875,-0.003365639867493429
sun_1h,-0.015286374124023203,0.00021260521111771667,0.002561075674515653,-0.029355699897268595,-0.014320203777007382,0.022738114728020162,0.46724441523282584,0.4163832205645788,-0.10614976687849365,1.0,-0.0020842795818377118,0.00014889965608725738
snow_1h,-0.006389892543615483,-0.00612872194543415,0.006018614506669683,-0.042339967833922576,-0.00595066876026615,0.0077991827321805055,-0.005042615645741037,-0.005224058072525796,0.0066681731305887875,-0.0020842795818377118,1.0,-0.0033762568619265677
is_holiday,-0.006299627286731216,-0.06965929321455441,-0.03622336946669525,-0.0020582436218460507,-0.00022114631843841724,-9.412228757037465e-06,-0.01389841471424344,-0.021373964430407684,-0.003365639867493429,0.00014889965608725738,-0.0033762568619265677,1.0
